rank,ticker,start,end,sim,corr,lag,hybrid
1,004140,2019-02-08,2019-05-07,0.876683,0.927,0,0.929
2,022100,2023-04-14,2023-07-12,0.887592,0.881,0,0.919
3,005810,2021-02-24,2021-05-21,0.862943,0.902,0,0.916
