t,y_hat(%)
1,-2.2171512647517226
2,-3.160529222044789
3,-1.8434077538089746
4,-0.7477288865354051
5,-3.026460903877232
6,-4.792140530816813
7,-4.5989175087645675
8,-5.512815230085564
9,-5.437707383862143
10,-7.174683702591884
11,-6.231694209179941
12,-5.152016116954468
13,-5.182126681457557
14,-4.508681080673982
15,-5.392904334082367
16,-4.417814324052385
17,-4.373399738153722
18,-4.86792633828062
19,-4.3429007097695145
20,-5.317213792037267
