t,mean_weighted,mean_unweighted,median,p10,p25,p75,p90
1,0.17116727478683477,-0.03117211135916779,-0.3047944552460713,-5.454501615469929,-2.344008606421716,1.6764815324133264,5.037535445354538
2,0.5743319067021548,0.2852672324545424,-0.5377626759205723,-6.968118260502112,-3.246447526108545,2.655514203250803,8.328467777724308
3,0.06631984550976963,-0.09106641283612864,-1.121502634805116,-9.726757453073244,-4.445718138953646,4.03298117032474,11.737799627483188
4,-0.19778748330954737,-0.5389983673632718,-1.7828885829427488,-11.643542005703278,-5.209225028896985,3.980992302885361,13.09116724549062
5,0.39864649150943277,0.14940990496358827,-1.0530934620447574,-11.425639519177345,-6.105953501048553,4.686290486428452,14.753324586372536
6,0.2287642117698212,0.11826930820784962,-0.774418450721831,-10.407902842284923,-7.076294422257967,4.66862917272452,15.21782296391137
7,0.48101343055547097,0.3546152889811907,-1.1971126357918804,-12.065259967839035,-7.916176758769356,4.4413626342365395,14.532068975131036
8,1.316856941414178,1.067440186125936,-1.4091719851732132,-14.957127693940658,-5.642977462206017,4.518443367655961,16.72541071941757
9,0.9547964369657268,0.7479642583212821,-1.5715813456084027,-14.03987262910148,-7.065718798122655,4.216193371859866,14.358985260770977
10,1.292491899024377,1.0963533311752975,-1.4746376811594186,-16.398242504799878,-7.642967986665902,4.7088689516062825,14.754538443284297
11,2.582607107251995,2.2656315837700607,-1.756534251045777,-16.36550632911392,-7.6807654855313015,5.310245457704027,18.07101303868545
12,2.395126881460887,1.9182531401445633,-1.8907923942248883,-16.038477801268503,-8.264041969512123,6.689696951859597,23.15831809872029
13,2.602777374324752,2.1224341256306323,-2.0447178123181753,-16.31759990634318,-8.635772305040582,8.199049246921792,22.693159468115493
14,2.745239997366528,2.2579805673688633,-1.583016684435451,-15.384702716632505,-7.8298283694504756,8.76251338023472,23.016372795969783
15,3.145112625219435,2.5943880954115,-1.25560779715998,-16.461541873439725,-9.187166362808957,7.315913762554965,22.6276104545262
16,2.8891474851459464,2.3321426311583107,-1.3028475261806949,-17.16401170410349,-9.888241979201954,9.27422042654304,24.43736015177527
17,2.0367473758336194,1.5837337440124584,-2.027846259548155,-18.72713736828502,-8.349889540262945,7.957299912847699,21.838409270528267
18,2.3883800203856573,2.035735355207819,-1.5632386123783704,-19.617187644707794,-9.83019611153316,6.8326569343848345,27.066929559204848
19,2.199250571629385,1.9549828950709272,-2.105729723644961,-20.031040470747,-9.582676348547718,7.05561072492552,24.969427750196004
20,3.1466442765009806,2.8315800988109436,-1.645547259506247,-19.415809217504265,-10.185674399114555,8.82986624280096,31.099178418776074
