horizon,n,win_rate,avg_ret,med_ret,avg_mdd,p05_ret,p95_ret,weighted_expected_ret
5,2,0.5,1.668368775011536,1.668368775011536,-2.4074620429839046,-4.470387097262255,7.807124647285326,7.368314583555871
10,2,0.5,3.8680979506615527,3.8680979506615527,-4.964255724757743,-5.8592469872682305,13.595442888591336,12.900113583933658
20,2,0.5,11.341639622056304,11.341639622056304,-9.5853664071897,-10.695489034639792,33.378768278752396,31.803511983916678
